Assay,Taxon,Name,Amp
CMCP_2,Unspecified,Cyprinus carpio,0.871
CMCP_2,Unspecified,Rhinichthys atratulus,0.185
CMCP_2,Unspecified,Rutilus rutilus,0.18
CMCP_2,Unspecified,Semotilus lumbee,0.179
CMCP_2,Unspecified,Rhinichthys obtusus,0.179
CMCP_2,Unspecified,Rhodeus uyekii,0.177
CMCP_2,Unspecified,Pseudorasbora elongata,0.176
CMCP_2,Unspecified,Rutilus heckelii,0.175
CMCP_2,Unspecified,Pteronotropis hubbsi,0.174
CMCP_2,Unspecified,Pteronotropis harperi,0.172
CMCP_2,Unspecified,Rhodeus amurensis,0.167
CMCP_2,Unspecified,Rutilus frisii,0.167
CMCP_2,Unspecified,Pseudophoxinus zekayi,0.167
CMCP_2,Unspecified,Rhodeus shitaiensis,0.165
CMCP_2,Unspecified,Pimephales vigilax,0.163
CMCP_2,Unspecified,Sarcocheilichthys biwaensis,0.163
CMCP_2,Unspecified,Rasbora argyrotaenia,0.162
CMCP_2,Unspecified,Sarcocheilichthys kiangsiensis,0.162
CMCP_2,Unspecified,Relictus solitarius,0.158
CMCP_2,Unspecified,Salmostoma bacaila,0.157
CMCP_2,Unspecified,Puntius cauveriensis,0.156
CMCP_2,Unspecified,Puntius kamalika,0.156
CMCP_2,Unspecified,Pseudophoxinus kervillei,0.156
CMCP_2,Unspecified,Pseudophoxinus callensis,0.156
CMCP_2,Unspecified,Puntigrus partipentazona,0.156
CMCP_2,Unspecified,Platysmacheilus exiguus,0.155
CMCP_2,Unspecified,Rasbora wilpita,0.153
CMCP_2,Unspecified,Pseudopungtungia tenuicorpus,0.153
CMCP_2,Unspecified,Pseudobarbus quathlambae,0.152
CMCP_2,Unspecified,Pseudophoxinus stymphalicus,0.152
CMCP_2,Unspecified,Rhinogobio ventralis,0.152
CMCP_2,Unspecified,Rhinogobio nasutus,0.152
CMCP_2,Unspecified,Rhinogobio typus,0.152
CMCP_2,Unspecified,Sinocyclocheilus anatirostris,0.151
CMCP_2,Unspecified,Rutilus albus,0.15
CMCP_2,Unspecified,Rutilus basak,0.15
CMCP_2,Unspecified,Rhinichthys umatilla,0.15
CMCP_2,Unspecified,Schizothorax pelzami,0.147
CMCP_2,Unspecified,Platysmacheilus longibarbatus,0.147
CMCP_2,Unspecified,Sinocyclocheilus huaningensis,0.145
CMCP_2,Unspecified,Sinocyclocheilus guishanensis,0.145
CMCP_2,Unspecified,Rhodeus pseudosericeus,0.145
CMCP_2,Unspecified,Rasbora caudimaculata,0.145
CMCP_2,Unspecified,Sinocyclocheilus furcodorsalis,0.145
CMCP_2,Unspecified,Sinocyclocheilus oxycephalus,0.145
CMCP_2,Unspecified,Sinocyclocheilus purpureus,0.145
CMCP_2,Unspecified,Sinocyclocheilus qiubeiensis,0.145
CMCP_2,Unspecified,Pogonichthys macrolepidotus,0.145
CMCP_2,Unspecified,Schizocypris altidorsalis,0.144
CMCP_2,Unspecified,Pseudophoxinus fahirae,0.144
CMCP_2,Unspecified,Romanogobio banaticus,0.144
CMCP_2,Unspecified,Schizopygopsis anteroventris,0.144
CMCP_2,Unspecified,Sinocyclocheilus rhinocerous,0.144
CMCP_2,Unspecified,Schizopyge curvifrons,0.143
CMCP_2,Unspecified,Sinocyclocheilus tianlinensis,0.143
CMCP_2,Unspecified,Sarcocheilichthys czerskii,0.143
CMCP_2,Unspecified,Rasbora lacrimula,0.143
CMCP_2,Unspecified,Schizothorax pseudoaksaiensis,0.143
CMCP_2,Unspecified,Schizothorax argentatus,0.143
CMCP_2,Unspecified,Schizothorax lantsangensis,0.143
CMCP_2,Unspecified,Sinocyclocheilus xichouensis,0.142
CMCP_2,Unspecified,Sinocyclocheilus macrocephalus,0.142
CMCP_2,Unspecified,Sinocyclocheilus malacopterus,0.142
CMCP_2,Unspecified,Sinocyclocheilus flexuosdorsalis,0.142
CMCP_2,Unspecified,Sinocyclocheilus brevibarbatus,0.142
CMCP_2,Unspecified,Rasbora kottelati,0.142
CMCP_2,Unspecified,Puntius sahyadriensis,0.142
CMCP_2,Unspecified,Scaphognathops bandanensis,0.142
